Run Fitness1 Solution1 Fitness2 Solution2
1 590.239 029005000028044020 184.672 008000001037009016
1 184.672 008000001037009016 212.429 100001000021034002
1 212.429 100001000021034002 583.938 029000001028016022
1 583.938 029000001028016022 120.949 029000001041016022
1 120.949 029000001041016022 184.672 008000001037009016
1 184.672 008000001037009016 3902700.0 031003002037011016
1 3902700.0 031003002037011016 19452.6 031003002030011016
1 19452.6 031003002030011016 120.949 029000001041016022
1 120.949 029000001041016022 27520.3 002004001022037019
1 27520.3 002004001022037019 1021.76 002004001042037019
1 1021.76 002004001042037019 120.949 029000001041016022
1 120.949 029000001041016022 718.28 002005000012014011
1 718.28 002005000012014011 474.759 002000000012014011
1 474.759 002000000012014011 120.949 029000001041016022
1 120.949 029000001041016022 1765.63 008003001008010016
1 1765.63 008003001008010016 1599.48 008003001004010016
1 1599.48 008003001004010016 120.949 029000001041016022
1 120.949 029000001041016022 2505.71 044002000006028011
1 2505.71 044002000006028011 607.931 044002000023028011
1 607.931 044002000023028011 120.949 029000001041016022
1 120.949 029000001041016022 1045.31 002006000028010019
1 1045.31 002006000028010019 120.949 029000001041016022
1 120.949 029000001041016022 184.672 008000001037009016
1 184.672 008000001037009016 445.035 010000000023001019
1 445.035 010000000023001019 427.611 010001000023001019
1 427.611 010001000023001019 120.949 029000001041016022
1 120.949 029000001041016022 231.037 070000000048030022
1 231.037 070000000048030022 188.707 070000000048030021
1 188.707 070000000048030021 120.949 029000001041016022
1 120.949 029000001041016022 1782.68 019001000023028019
1 1782.68 019001000023028019 594.84 019001000023028032
1 594.84 019001000023028032 120.949 029000001041016022
1 120.949 029000001041016022 19318.8 029000002028012005
1 19318.8 029000002028012005 5940.55 029000002028033005
1 5940.55 029000002028033005 120.949 029000001041016022
1 120.949 029000001041016022 1591.56 056004002023042011
1 1591.56 056004002023042011 1591.56 056004002023042011
1 1591.56 056004002023042011 120.949 029000001041016022
1 120.949 029000001041016022 14645.8 002000001041050011
1 14645.8 002000001041050011 408.881 002000001040050011
1 408.881 002000001040050011 120.949 029000001041016022
1 120.949 029000001041016022 5328.42 056000001016028016
1 5328.42 056000001016028016 669.23 056000001038028016
1 669.23 056000001038028016 120.949 029000001041016022
1 120.949 029000001041016022 231.313 011004002023030016
1 231.313 011004002023030016 227.517 011004001023030016
1 227.517 011004001023030016 120.949 029000001041016022
1 120.949 029000001041016022 5582.52 052006000033031006
1 5582.52 052006000033031006 1399.87 023006000033031006
1 1399.87 023006000033031006 120.949 029000001041016022
1 120.949 029000001041016022 470.799 032003000023035007
1 470.799 032003000023035007 120.949 029000001041016022
1 120.949 029000001041016022 184.672 008000001037009016
1 184.672 008000001037009016 799.858 010000000013026011
1 799.858 010000000013026011 650.038 010000000013021011
1 650.038 010000000013021011 120.949 029000001041016022
1 120.949 029000001041016022 698.071 002000002043042004
1 698.071 002000002043042004 273.958 002000002047042004
1 273.958 002000002047042004 120.949 029000001041016022
1 120.949 029000001041016022 32058.1 016001002023014016
1 32058.1 016001002023014016 569.896 016001002023014003
1 569.896 016001002023014003 120.949 029000001041016022
1 120.949 029000001041016022 471.834 029003000023042015
1 471.834 029003000023042015 214.157 029003000038042015
1 214.157 029003000038042015 120.949 029000001041016022
1 120.949 029000001041016022 122536.0 032006001046012019
1 122536.0 032006001046012019 4372.74 032006002046012019
1 4372.74 032006002046012019 120.949 029000001041016022
1 120.949 029000001041016022 53403.7 010003000023050005
1 53403.7 010003000023050005 644.947 010003000023048005
1 644.947 010003000023048005 120.949 029000001041016022
1 120.949 029000001041016022 28603.9 029000000040042011
1 28603.9 029000000040042011 490.79 029000000048042011
1 490.79 029000000048042011 120.949 029000001041016022
1 120.949 029000001041016022 2508.66 035003000023021022
1 2508.66 035003000023021022 1854.29 035003000023021035
1 1854.29 035003000023021035 120.949 029000001041016022
1 120.949 029000001041016022 62564500.0 056000001023050003
1 62564500.0 056000001023050003 20706.2 056000001007050003
1 20706.2 056000001007050003 120.949 029000001041016022
1 120.949 029000001041016022 317977000.0 044006001023030004
1 317977000.0 044006001023030004 746.941 044000001023030004
1 746.941 044000001023030004 120.949 029000001041016022
1 120.949 029000001041016022 166.93 002005001023016015
1 166.93 002005001023016015 157.038 002005001023004015
1 157.038 002005001023004015 120.949 029000001041016022
1 120.949 029000001041016022 42800.3 002004001046026032
1 42800.3 002004001046026032 1773.84 054004001046026032
1 1773.84 054004001046026032 120.949 029000001041016022
1 120.949 029000001041016022 149.09 031000002023037021
1 149.09 031000002023037021 120.949 029000001041016022
1 120.949 029000001041016022 157.038 002005001023004015
1 157.038 002005001023004015 566.325 010002000023042022
1 566.325 010002000023042022 120.949 029000001041016022
1 120.949 029000001041016022 149.09 031000002023037021
1 149.09 031000002023037021 756.012 029001000038039011
1 756.012 029001000038039011 456.701 099001000038039011
1 456.701 099001000038039011 120.949 029000001041016022
1 120.949 029000001041016022 326.227 002000001047014011
1 326.227 002000001047014011 326.227 002000001047014011
1 326.227 002000001047014011 120.949 029000001041016022
1 120.949 029000001041016022 24074.1 100000000023035019
1 24074.1 100000000023035019 596.025 100000000023035033
1 596.025 100000000023035033 120.949 029000001041016022
1 120.949 029000001041016022 2000.23 002004000012009015
1 2000.23 002004000012009015 671.658 002003000012009015
1 671.658 002003000012009015 120.949 029000001041016022
1 120.949 029000001041016022 3122.61 044000002023027005
1 3122.61 044000002023027005 1189.56 044000001023027005
1 1189.56 044000001023027005 120.949 029000001041016022
1 120.949 029000001041016022 657487.0 100001001027030032
1 657487.0 100001001027030032 13673.8 068001001027030032
1 13673.8 068001001027030032 120.949 029000001041016022
1 120.949 029000001041016022 273.25 016000000023004017
1 273.25 016000000023004017 213.759 016000000023049017
1 213.759 016000000023049017 120.949 029000001041016022
1 120.949 029000001041016022 308.265 002004001023050022
1 308.265 002004001023050022 108.476 002004002023050022
1 108.476 002004002023050022 120.949 029000001041016022
1 120.949 029000001041016022 3011.19 100003001023037022
1 3011.19 100003001023037022 1689.85 100003001023047022
1 1689.85 100003001023047022 108.476 002004002023050022
1 108.476 002004002023050022 213.318 011000000027009000
1 213.318 011000000027009000 23.7139 011000000027009009
1 23.7139 011000000027009009 108.476 002004002023050022
1 108.476 002004002023050022 32518.1 029001000047050016
1 32518.1 029001000047050016 678.262 042001000047050016
1 678.262 042001000047050016 23.7139 011000000027009009
1 23.7139 011000000027009009 529.63 010002000029050021
1 529.63 010002000029050021 413.64 010002000013050021
1 413.64 010002000013050021 23.7139 011000000027009009
1 23.7139 011000000027009009 78103.3 002003001047009022
1 78103.3 002003001047009022 384.626 002003001047009019
1 384.626 002003001047009019 23.7139 011000000027009009
1 23.7139 011000000027009009 420.301 029005000023042011
1 420.301 029005000023042011 23.7139 011000000027009009
1 23.7139 011000000027009009 108.476 002004002023050022
1 108.476 002004002023050022 699.032 070000000023001011
1 699.032 070000000023001011 472.399 070000000023006011
1 472.399 070000000023006011 23.7139 011000000027009009
1 23.7139 011000000027009009 504.866 002000000023001015
1 504.866 002000000023001015 504.075 002000001023001015
1 504.075 002000001023001015 23.7139 011000000027009009
1 23.7139 011000000027009009 500.706 011000000023001000
1 500.706 011000000023001000 383.287 011000000023028000
1 383.287 011000000023028000 23.7139 011000000027009009
1 23.7139 011000000027009009 978.321 011003000023042021
1 978.321 011003000023042021 728.547 059003000023042021
1 728.547 059003000023042021 23.7139 011000000027009009
1 23.7139 011000000027009009 177.7 016000002046001021
1 177.7 016000002046001021 23.7139 011000000027009009
1 23.7139 011000000027009009 108.476 002004002023050022
1 108.476 002004002023050022 578.506 002000001048004022
1 578.506 002000001048004022 484.777 002000001014004022
1 484.777 002000001014004022 23.7139 011000000027009009
1 23.7139 011000000027009009 263.421 002005002023016015
1 263.421 002005002023016015 128.171 002005002047016015
1 128.171 002005002047016015 23.7139 011000000027009009
1 23.7139 011000000027009009 127.654 002001002021001019
1 127.654 002001002021001019 23.7139 011000000027009009
1 23.7139 011000000027009009 108.476 002004002023050022
1 108.476 002004002023050022 2088.4 002000002047004011
1 2088.4 002000002047004011 187.085 002002002047004011
1 187.085 002002002047004011 23.7139 011000000027009009
1 23.7139 011000000027009009 566.166 019000000047050021
1 566.166 019000000047050021 358.025 019000000047049021
1 358.025 019000000047049021 23.7139 011000000027009009
1 23.7139 011000000027009009 2030.54 011005000047030015
1 2030.54 011005000047030015 317.825 011005000047047015
1 317.825 011005000047047015 23.7139 011000000027009009
1 23.7139 011000000027009009 16191.1 016001001027006009
1 16191.1 016001001027006009 592.095 016001001019006009
1 592.095 016001001019006009 23.7139 011000000027009009
1 23.7139 011000000027009009 2102.05 011001001046004009
1 2102.05 011001001046004009 23.7139 011000000027009009
1 23.7139 011000000027009009 108.476 002004002023050022
1 108.476 002004002023050022 4408.1 070000001027014011
1 4408.1 070000001027014011 4221.78 070000001027034011
1 4221.78 070000001027034011 23.7139 011000000027009009
1 23.7139 011000000027009009 11040300.0 029001002029001019
1 11040300.0 029001002029001019 18902.7 067001002029001019
1 18902.7 067001002029001019 23.7139 011000000027009009
1 23.7139 011000000027009009 1048.896 002001000047030016
1 1048.896 002001000047030016 1048.896 002001000047030016
1 1048.896 002001000047030016 23.7139 011000000027009009
1 23.7139 011000000027009009 728.001 010005002021016021
1 728.001 010005002021016021 292.601 010005002039016021
1 292.601 010005002039016021 23.7139 011000000027009009
1 23.7139 011000000027009009 21246.1 011005002047030000
1 21246.1 011005002047030000 15996.4 011005002009030000
1 15996.4 011005002009030000 23.7139 011000000027009009
1 23.7139 011000000027009009 2112.18 070000000047001016
1 2112.18 070000000047001016 354.832 070000000047038016
1 354.832 070000000047038016 23.7139 011000000027009009
1 23.7139 011000000027009009 42470.1 002004000023042004
1 42470.1 002004000023042004 266.136 002004000023042040
1 266.136 002004000023042040 23.7139 011000000027009009
1 23.7139 011000000027009009 228.149 002002000048004019
1 228.149 002002000048004019 101.344 056002000048004019
1 101.344 056002000048004019 23.7139 011000000027009009
1 23.7139 011000000027009009 50388.0 029000001047004011
1 50388.0 029000001047004011 10460.7 043000001047004011
1 10460.7 043000001047004011 23.7139 011000000027009009
1 23.7139 011000000027009009 113.208 019000000027030016
1 113.208 019000000027030016 67.9059 019000000027030031
1 67.9059 019000000027030031 23.7139 011000000027009009
1 23.7139 011000000027009009 480.76 011003002023030040
1 480.76 011003002023030040 456.975 011003002023030033
1 456.975 011003002023030033 23.7139 011000000027009009
1 23.7139 011000000027009009 46433.9 032002000023050009
1 46433.9 032002000023050009 514.512 032002000046050009
1 514.512 032002000046050009 23.7139 011000000027009009
1 23.7139 011000000027009009 53852.8 002001000023016021
1 53852.8 002001000023016021 49467.4 002002000023016021
1 49467.4 002002000023016021 23.7139 011000000027009009
1 23.7139 011000000027009009 45888.9 029000000018030004
1 45888.9 029000000018030004 5227.86 029002000018030004
1 5227.86 029002000018030004 23.7139 011000000027009009
1 23.7139 011000000027009009 415.424 029000000027050007
1 415.424 029000000027050007 415.424 029000000027050007
1 415.424 029000000027050007 23.7139 011000000027009009
1 23.7139 011000000027009009 760.418 016000000023016021
1 760.418 016000000023016021 464.394 016000000023016034
1 464.394 016000000023016034 23.7139 011000000027009009
1 23.7139 011000000027009009 506.958 019003002047004019
1 506.958 019003002047004019 483.085 019003002011004019
1 483.085 019003002011004019 23.7139 011000000027009009
1 23.7139 011000000027009009 723.577 002002000039030021
1 723.577 002002000039030021 584.454 067002000039030021
1 584.454 067002000039030021 23.7139 011000000027009009
1 23.7139 011000000027009009 24125.2 029000000048004000
1 24125.2 029000000048004000 19172.7 029004000048004000
1 19172.7 029004000048004000 23.7139 011000000027009009
1 23.7139 011000000027009009 593.63 002003000021016033
1 593.63 002003000021016033 399.611 043003000021016033
1 399.611 043003000021016033 23.7139 011000000027009009
1 23.7139 011000000027009009 1565.26 010000000023050031
1 1565.26 010000000023050031 726.951 010000000003050031
1 726.951 010000000003050031 23.7139 011000000027009009
1 23.7139 011000000027009009 224.772 010000000018016015
1 224.772 010000000018016015 23.7139 011000000027009009
1 23.7139 011000000027009009 67.9059 019000000027030031
1 67.9059 019000000027030031 372.455 011004000047042019
1 372.455 011004000047042019 208.398 011004000047042024
1 208.398 011004000047042024 23.7139 011000000027009009
1 23.7139 011000000027009009 2370.19 002001000041042016
1 2370.19 002001000041042016 302.975 002001000041042014
1 302.975 002001000041042014 23.7139 011000000027009009
1 23.7139 011000000027009009 1771.27 029004002021049019
1 1771.27 029004002021049019 532.684 029004002021049029
1 532.684 029004002021049029 23.7139 011000000027009009
1 23.7139 011000000027009009 1960.46 019004002027030012
1 1960.46 019004002027030012 723.326 019004002023030012
1 723.326 019004002023030012 23.7139 011000000027009009
1 23.7139 011000000027009009 2620.32 011000001047042004
1 2620.32 011000001047042004 991.574 053000001047042004
1 991.574 053000001047042004 23.7139 011000000027009009
1 23.7139 011000000027009009 494.755 002002001023050015
1 494.755 002002001023050015 384.178 002004001023050015
1 384.178 002004001023050015 23.7139 011000000027009009
1 23.7139 011000000027009009 564.742 002002000023016009
1 564.742 002002000023016009 143.512 002002000023016015
1 143.512 002002000023016015 23.7139 011000000027009009
1 23.7139 011000000027009009 346.52 002000002037004000
1 346.52 002000002037004000 346.52 002000002037004000
1 346.52 002000002037004000 23.7139 011000000027009009
1 23.7139 011000000027009009 13492.2 002000002047016019
1 13492.2 002000002047016019 617.511 002000002047016022
1 617.511 002000002047016022 23.7139 011000000027009009
1 23.7139 011000000027009009 296.182 029000000023030021
1 296.182 029000000023030021 277.698 029000000023030016
1 277.698 029000000023030016 23.7139 011000000027009009
1 23.7139 011000000027009009 29695.0 019000000048004019
1 29695.0 019000000048004019 24499.9 037000000048004019
1 24499.9 037000000048004019 23.7139 011000000027009009
1 23.7139 011000000027009009 1805.94 002004002038016033
1 1805.94 002004002038016033 494.153 027004002038016033
1 494.153 027004002038016033 23.7139 011000000027009009
1 23.7139 011000000027009009 1951.5 002003002038030031
1 1951.5 002003002038030031 952.297 002003002038030017
1 952.297 002003002038030017 23.7139 011000000027009009
1 23.7139 011000000027009009 316.046 002000000023050015
1 316.046 002000000023050015 261.726 035000000023050015
1 261.726 035000000023050015 23.7139 011000000027009009
1 23.7139 011000000027009009 28529.4 002000000027034021
1 28529.4 002000000027034021 958.757 002000000027034025
1 958.757 002000000027034025 23.7139 011000000027009009
1 23.7139 011000000027009009 390.339 002005001027004015
1 390.339 002005001027004015 357.057 002005001027009015
1 357.057 002005001027009015 23.7139 011000000027009009
1 23.7139 011000000027009009 465.704 002005000047034007
1 465.704 002005000047034007 221.012 002005000023034007
1 221.012 002005000023034007 23.7139 011000000027009009
1 23.7139 011000000027009009 2220.82 019002000021016009
1 2220.82 019002000021016009 23.7139 011000000027009009
1 23.7139 011000000027009009 67.9059 019000000027030031
1 67.9059 019000000027030031 599.615 002000000047034019
1 599.615 002000000047034019 542.325 002000000014034019
1 542.325 002000000014034019 23.7139 011000000027009009
1 23.7139 011000000027009009 344.175 011000002023049021
1 344.175 011000002023049021 181.211 011000002023049033
1 181.211 011000002023049033 23.7139 011000000027009009
1 23.7139 011000000027009009 431.481 011001000023049019
1 431.481 011001000023049019 431.481 011001000023049019
1 431.481 011001000023049019 23.7139 011000000027009009
1 23.7139 011000000027009009 26225.6 011000002023034007
1 26225.6 011000002023034007 2137.81 011000002023034013
1 2137.81 011000002023034013 23.7139 011000000027009009
1 23.7139 011000000027009009 1943.37 010000002048041004
1 1943.37 010000002048041004 366.762 010000002048041029
1 366.762 010000002048041029 23.7139 011000000027009009
1 23.7139 011000000027009009 1902.6 002000002041030007
1 1902.6 002000002041030007 992.552 029000002041030007
1 992.552 029000002041030007 23.7139 011000000027009009
1 23.7139 011000000027009009 679.938 011000000023030021
1 679.938 011000000023030021 251.959 039000000023030021
1 251.959 039000000023030021 23.7139 011000000027009009
1 23.7139 011000000027009009 537734000.0 056000002023009000
1 537734000.0 056000002023009000 481435000.0 056000002032009000
1 481435000.0 056000002032009000 23.7139 011000000027009009
1 23.7139 011000000027009009 441.548 011000000047034007
1 441.548 011000000047034007 23.7139 011000000027009009
1 23.7139 011000000027009009 67.9059 019000000027030031
1 67.9059 019000000027030031 130.59 002000001023016016
1 130.59 002000001023016016 95.8027 002000001014016016
1 95.8027 002000001014016016 23.7139 011000000027009009
1 23.7139 011000000027009009 422.514 002003000021050019
1 422.514 002003000021050019 333.985 002003000043050019
1 333.985 002003000043050019 23.7139 011000000027009009
1 23.7139 011000000027009009 3962.51 002000002041050021
1 3962.51 002000002041050021 651.983 013000002041050021
1 651.983 013000002041050021 23.7139 011000000027009009
1 23.7139 011000000027009009 390.324 002004000021050015
1 390.324 002004000021050015 284.295 002004000020050015
1 284.295 002004000020050015 23.7139 011000000027009009
1 23.7139 011000000027009009 5948.67 070000001023016021
1 5948.67 070000001023016021 934.423 070003001023016021
1 934.423 070003001023016021 23.7139 011000000027009009
1 23.7139 011000000027009009 1949.14 002000000023042021
1 1949.14 002000000023042021 512.985 002000001023042021
1 512.985 002000001023042021 23.7139 011000000027009009
1 23.7139 011000000027009009 614.785 100000000047004016
1 614.785 100000000047004016 23.7139 011000000027009009
1 23.7139 011000000027009009 67.9059 019000000027030031
1 67.9059 019000000027030031 17240.3 011001002048049022
1 17240.3 011001002048049022 23.7139 011000000027009009
1 23.7139 011000000027009009 67.9059 019000000027030031
1 67.9059 019000000027030031 46528.1 011002000023042015
1 46528.1 011002000023042015 1991.03 011002001023042015
1 1991.03 011002001023042015 23.7139 011000000027009009
1 23.7139 011000000027009009 1867.15 011000000023004015
1 1867.15 011000000023004015 162.571 011000000023004006
1 162.571 011000000023004006 23.7139 011000000027009009
1 23.7139 011000000027009009 26413.5 010000002038009021
1 26413.5 010000002038009021 317.971 010004002038009021
1 317.971 010004002038009021 23.7139 011000000027009009
1 23.7139 011000000027009009 36123.5 019000000047016016
1 36123.5 019000000047016016 343.148 019004000047016016
1 343.148 019004000047016016 23.7139 011000000027009009
1 23.7139 011000000027009009 1586.72 002001000027016015
1 1586.72 002001000027016015 362.36 002005000027016015
1 362.36 002005000027016015 23.7139 011000000027009009
1 23.7139 011000000027009009 19235.0 029000000047030000
1 19235.0 029000000047030000 2001.93 083000000047030000
1 2001.93 083000000047030000 23.7139 011000000027009009
1 23.7139 011000000027009009 34110.0 002000001047034015
1 34110.0 002000001047034015 719.703 002001001047034015
1 719.703 002001001047034015 23.7139 011000000027009009
1 23.7139 011000000027009009 16268.9 029000002027030016
1 16268.9 029000002027030016 2131.88 029000000027030016
1 2131.88 029000000027030016 23.7139 011000000027009009
1 23.7139 011000000027009009 16698.1 016000000047034016
1 16698.1 016000000047034016 446.25 016000001047034016
1 446.25 016000001047034016 23.7139 011000000027009009
1 23.7139 011000000027009009 457.615 002000002047050016
1 457.615 002000002047050016 278.097 028000002047050016
1 278.097 028000002047050016 23.7139 011000000027009009
1 23.7139 011000000027009009 846.689 002000001023050024
1 846.689 002000001023050024 625.346 020000001023050024
1 625.346 020000001023050024 23.7139 011000000027009009
1 23.7139 011000000027009009 22662.1 002002000021030016
1 22662.1 002002000021030016 272.557 058002000021030016
1 272.557 058002000021030016 23.7139 011000000027009009
1 23.7139 011000000027009009 42037.8 002005001023030016
1 42037.8 002005001023030016 385.292 002005001023030033
1 385.292 002005001023030033 23.7139 011000000027009009
1 23.7139 011000000027009009 792.071 011000000023004016
1 792.071 011000000023004016 749.758 011000002023004016
1 749.758 011000002023004016 23.7139 011000000027009009
1 23.7139 011000000027009009 2006.69 028000001027009021
1 2006.69 028000001027009021 1584.93 084000001027009021
1 1584.93 084000001027009021 23.7139 011000000027009009
1 23.7139 011000000027009009 444.504 002005000023016021
1 444.504 002005000023016021 162.323 002004000023016021
1 162.323 002004000023016021 23.7139 011000000027009009
1 23.7139 011000000027009009 574.379 010002002023030012
1 574.379 010002002023030012 469.934 022002002023030012
1 469.934 022002002023030012 23.7139 011000000027009009
1 23.7139 011000000027009009 562.531 028005001041050015
1 562.531 028005001041050015 184.264 028005001041013015
1 184.264 028005001041013015 23.7139 011000000027009009
1 23.7139 011000000027009009 1695.62 070004000023004015
1 1695.62 070004000023004015 223.214 047004000023004015
1 223.214 047004000023004015 23.7139 011000000027009009
1 23.7139 011000000027009009 56116.7 011000000048016022
1 56116.7 011000000048016022 659.61 011000002048016022
1 659.61 011000002048016022 23.7139 011000000027009009
1 23.7139 011000000027009009 21079.5 011000000023042022
1 21079.5 011000000023042022 648.039 011000001023042022
1 648.039 011000001023042022 23.7139 011000000027009009
1 23.7139 011000000027009009 1897.22 002001002023009040
1 1897.22 002001002023009040 514.656 002004002023009040
1 514.656 002004002023009040 23.7139 011000000027009009
1 23.7139 011000000027009009 402.956 028004000023034011
1 402.956 028004000023034011 343.791 028005000023034011
1 343.791 028005000023034011 23.7139 011000000027009009
1 23.7139 011000000027009009 37156.5 002004001023004015
1 37156.5 002004001023004015 18201.3 002004001031004015
1 18201.3 002004001031004015 23.7139 011000000027009009
1 23.7139 011000000027009009 353.332 002000002047050015
1 353.332 002000002047050015 343.771 002000002023050015
1 343.771 002000002023050015 23.7139 011000000027009009
1 23.7139 011000000027009009 22062.1 002000000023030009
1 22062.1 002000000023030009 527.298 002000000040030009
1 527.298 002000000040030009 23.7139 011000000027009009
1 23.7139 011000000027009009 502.888 002004001023016000
1 502.888 002004001023016000 433.949 091004001023016000
1 433.949 091004001023016000 23.7139 011000000027009009
1 23.7139 011000000027009009 1863.74 011000000023050015
1 1863.74 011000000023050015 483.847 011000000031050015
1 483.847 011000000031050015 23.7139 011000000027009009
1 23.7139 011000000027009009 2392.76 019000000023016004
1 2392.76 019000000023016004 810.001 019000000023021004
1 810.001 019000000023021004 23.7139 011000000027009009
1 23.7139 011000000027009009 1608.16 002002000047034033
1 1608.16 002002000047034033 459.006 002002000048034033
1 459.006 002002000048034033 23.7139 011000000027009009
1 23.7139 011000000027009009 54836.7 002001000027050019
1 54836.7 002001000027050019 420.073 002001001027050019
1 420.073 002001001027050019 23.7139 011000000027009009
1 23.7139 011000000027009009 77942.0 002000002047016021
1 77942.0 002000002047016021 530.913 097000002047016021
1 530.913 097000002047016021 23.7139 011000000027009009
1 23.7139 011000000027009009 15072.0 002000001048009021
1 15072.0 002000001048009021 408.901 002000001048005021
1 408.901 002000001048005021 23.7139 011000000027009009
1 23.7139 011000000027009009 546.0889999999999 028000000037037015
1 546.0889999999999 028000000037037015 546.0889999999999 028000000037037015
1 546.0889999999999 028000000037037015 23.7139 011000000027009009
1 23.7139 011000000027009009 36564.8 002005001021013015
1 36564.8 002005001021013015 358.452 011005001021013015
1 358.452 011005001021013015 23.7139 011000000027009009
1 23.7139 011000000027009009 414.139 002004000023004022
1 414.139 002004000023004022 23.7139 011000000027009009
1 23.7139 011000000027009009 67.9059 019000000027030031
1 67.9059 019000000027030031 438.185 016001000023030021
1 438.185 016001000023030021 264.872 061001000023030021
1 264.872 061001000023030021 23.7139 011000000027009009
1 23.7139 011000000027009009 753.322 002000000047050015
1 753.322 002000000047050015 753.322 002000000047050015
1 753.322 002000000047050015 23.7139 011000000027009009
1 23.7139 011000000027009009 34644.0 019000002023050016
1 34644.0 019000002023050016 4863.89 095000002023050016
1 4863.89 095000002023050016 23.7139 011000000027009009
1 23.7139 011000000027009009 146.526 028004001046034000
1 146.526 028004001046034000 141.791 097004001046034000
1 141.791 097004001046034000 23.7139 011000000027009009
