Run Fitness1 Solution1 Fitness2 Solution2
1 422452000.0 010006001010000003 96.6178 010001001010000003
1 96.6178 010001001010000003 7.20659 014001000012009004
1 7.20659 014001000012009004 131.576 004000002004011002
1 131.576 004000002004011002 131.576 004000002004011002
1 131.576 004000002004011002 7.20659 014001000012009004
1 7.20659 014001000012009004 1589310000.0 011005001006005000
1 1589310000.0 011005001006005000 3634.11 011005000006005000
1 3634.11 011005000006005000 7.20659 014001000012009004
1 7.20659 014001000012009004 14429500000000.0 007006002009008001
1 14429500000000.0 007006002009008001 6662800000.0 007006002008008001
1 6662800000.0 007006002008008001 7.20659 014001000012009004
1 7.20659 014001000012009004 124656.0 007005001004007009
1 124656.0 007005001004007009 3305.78 007005001010007009
1 3305.78 007005001010007009 7.20659 014001000012009004
1 7.20659 014001000012009004 168100.0 005006000011007000
1 168100.0 005006000011007000 2472.97 005006000007007000
1 2472.97 005006000007007000 7.20659 014001000012009004
1 7.20659 014001000012009004 169482.0 012002001000006009
1 169482.0 012002001000006009 141299.0 012002001010006009
1 141299.0 012002001010006009 7.20659 014001000012009004
1 7.20659 014001000012009004 1568550000.0 012001001001011000
1 1568550000.0 012001001001011000 7523.91 012003001001011000
1 7523.91 012003001001011000 7.20659 014001000012009004
1 7.20659 014001000012009004 7634.915 005000000002007000
1 7634.915 005000000002007000 7634.915 005000000002007000
1 7634.915 005000000002007000 7.20659 014001000012009004
1 7.20659 014001000012009004 135.567 001002000006011001
1 135.567 001002000006011001 9.91468 002002000006011001
1 9.91468 002002000006011001 7.20659 014001000012009004
1 7.20659 014001000012009004 1375.01 003000000007000003
1 1375.01 003000000007000003 402.496 003000000005000003
1 402.496 003000000005000003 7.20659 014001000012009004
1 7.20659 014001000012009004 5595930000.0 014002001002003001
1 5595930000.0 014002001002003001 189726.0 014002002002003001
1 189726.0 014002002002003001 7.20659 014001000012009004
1 7.20659 014001000012009004 23810.0 003000000002009003
1 23810.0 003000000002009003 23810.0 003000000002009003
1 23810.0 003000000002009003 7.20659 014001000012009004
1 7.20659 014001000012009004 120.202 010000000006010004
1 120.202 010000000006010004 120.202 010000000006010004
1 120.202 010000000006010004 7.20659 014001000012009004
1 7.20659 014001000012009004 1460.14 001004002011011000
1 1460.14 001004002011011000 382.993 001004002011011006
1 382.993 001004002011011006 7.20659 014001000012009004
1 7.20659 014001000012009004 5590380000.0 010002002007005000
1 5590380000.0 010002002007005000 6832.32 010002001007005000
1 6832.32 010002001007005000 7.20659 014001000012009004
1 7.20659 014001000012009004 2197400000000.0 004004000006000001
1 2197400000000.0 004004000006000001 264593.0 004004000006000003
1 264593.0 004004000006000003 7.20659 014001000012009004
1 7.20659 014001000012009004 151.792 003004001001000002
1 151.792 003004001001000002 7.20659 014001000012009004
1 7.20659 014001000012009004 9.91468 002002000006011001
1 9.91468 002002000006011001 4225.97 014000000000000000
1 4225.97 014000000000000000 58.6939 014000000000000005
1 58.6939 014000000000000005 7.20659 014001000012009004
1 7.20659 014001000012009004 8698.37 002003001004000000
1 8698.37 002003001004000000 244.774 002001001004000000
1 244.774 002001001004000000 7.20659 014001000012009004
1 7.20659 014001000012009004 23.6961 011000000004000001
1 23.6961 011000000004000001 18.6426 004000000004000001
1 18.6426 004000000004000001 7.20659 014001000012009004
1 7.20659 014001000012009004 16.4158 001003001004000001
1 16.4158 001003001004000001 7.20659 014001000012009004
1 7.20659 014001000012009004 9.91468 002002000006011001
1 9.91468 002002000006011001 2106.87 014004001001009001
1 2106.87 014004001001009001 153.121 014004001001010001
1 153.121 014004001001010001 7.20659 014001000012009004
1 7.20659 014001000012009004 324891.0 005002002003010002
1 324891.0 005002002003010002 19319.4 005005002003010002
1 19319.4 005005002003010002 7.20659 014001000012009004
1 7.20659 014001000012009004 2489370000.0 010003002011003001
1 2489370000.0 010003002011003001 2526.33 010004002011003001
1 2526.33 010004002011003001 7.20659 014001000012009004
1 7.20659 014001000012009004 3124080000.0 010000002011006000
1 3124080000.0 010000002011006000 8919.84 010000002011007000
1 8919.84 010000002011007000 7.20659 014001000012009004
1 7.20659 014001000012009004 8144.84 013000002001011001
1 8144.84 013000002001011001 1514.45 013000002001007001
1 1514.45 013000002001007001 7.20659 014001000012009004
1 7.20659 014001000012009004 1850.12 010002000004000004
1 1850.12 010002000004000004 7.20659 014001000012009004
1 7.20659 014001000012009004 9.91468 002002000006011001
1 9.91468 002002000006011001 170.064 001001000001011001
1 170.064 001001000001011001 72.376 001001000001012001
1 72.376 001001000001012001 7.20659 014001000012009004
1 7.20659 014001000012009004 3324140000.0 014005002006003004
1 3324140000.0 014005002006003004 2112640.0 014005002006003007
1 2112640.0 014005002006003007 7.20659 014001000012009004
1 7.20659 014001000012009004 3808300000.0 014000002000011002
1 3808300000.0 014000002000011002 1480.14 014000002001011002
