Run Fitness1 Solution1 Fitness2 Solution2
1 2492600.0 019004000012025013 758928.0 019004000012016013
1 758928.0 019004000012016013 530.205 002005000000006018
1 530.205 002005000000006018 6435890.0 019001001010019010
1 6435890.0 019001001010019010 15211.4 020001001010019010
1 15211.4 020001001010019010 530.205 002005000000006018
1 530.205 002005000000006018 86409800.0 013003000010010009
1 86409800.0 013003000010010009 22198100.0 013003000010013009
1 22198100.0 013003000010013009 530.205 002005000000006018
1 530.205 002005000000006018 2175140.0 040000000014019004
1 2175140.0 040000000014019004 2175140.0 040000000014019004
1 2175140.0 040000000014019004 530.205 002005000000006018
1 530.205 002005000000006018 4406900.0 019002000020009014
1 4406900.0 019002000020009014 858.631 017002000020009014
1 858.631 017002000020009014 530.205 002005000000006018
1 530.205 002005000000006018 7576180.0 019005002004019013
1 7576180.0 019005002004019013 137.571 026005002004019013
1 137.571 026005002004019013 530.205 002005000000006018
1 530.205 002005000000006018 917073.0 019001002018010018
1 917073.0 019001002018010018 15555.1 019001002018008018
1 15555.1 019001002018008018 137.571 026005002004019013
1 137.571 026005002004019013 927455.0 004004000012006013
1 927455.0 004004000012006013 551400.0 004004000013006013
1 551400.0 004004000013006013 137.571 026005002004019013
1 137.571 026005002004019013 444939.0 004005001006010010
1 444939.0 004005001006010010 444939.0 004005001006010010
1 444939.0 004005001006010010 137.571 026005002004019013
1 137.571 026005002004019013 75958900.0 026002002015006013
1 75958900.0 026002002015006013 9579220.0 026002001015006013
1 9579220.0 026002001015006013 137.571 026005002004019013
1 137.571 026005002004019013 104386.0 008002000014000003
1 104386.0 008002000014000003 75409.7 008002000024000003
1 75409.7 008002000024000003 137.571 026005002004019013
1 137.571 026005002004019013 26185.9 026002002000019018
1 26185.9 026002002000019018 9047.74 026002002000017018
1 9047.74 026002002000017018 137.571 026005002004019013
1 137.571 026005002004019013 1149230000.0 040002000004000006
1 1149230000.0 040002000004000006 216726.0 040002000004000017
1 216726.0 040002000004000017 137.571 026005002004019013
1 137.571 026005002004019013 55387.6 040002002000003014
1 55387.6 040002002000003014 17347.8 040002002024003014
1 17347.8 040002002024003014 137.571 026005002004019013
1 137.571 026005002004019013 30475500000.0 015002002002006002
1 30475500000.0 015002002002006002 314384000.0 029002002002006002
1 314384000.0 029002002002006002 137.571 026005002004019013
1 137.571 026005002004019013 96561700.0 026006001010008014
1 96561700.0 026006001010008014 5376320.0 026001001010008014
1 5376320.0 026001001010008014 137.571 026005002004019013
1 137.571 026005002004019013 6186880.0 019005001001009013
1 6186880.0 019005001001009013 1330910.0 008005001001009013
1 1330910.0 008005001001009013 137.571 026005002004019013
1 137.571 026005002004019013 5281340.0 015002001000017018
1 5281340.0 015002001000017018 107.756 015002002000017018
1 107.756 015002002000017018 137.571 026005002004019013
1 137.571 026005002004019013 14.1391 002002002015009010
1 14.1391 002002002015009010 14.1391 002002002015009010
1 14.1391 002002002015009010 107.756 015002002000017018
1 107.756 015002002000017018 1020.15 026005000010019010
1 1020.15 026005000010019010 68.3887 026005000011019010
1 68.3887 026005000011019010 14.1391 002002002015009010
1 14.1391 002002002015009010 36838800.0 019005002004008010
1 36838800.0 019005002004008010 21624.8 019000002004008010
